idind,year,type,wage,nls,logwage,lognls
1,1998,3,294,3000,5.683579767338681,8.006367567650246
2,1998,3,1416,5000,7.255591274253665,8.517193191416238
3,1998,3,950,10000,6.856461984594587,9.210340371976184
7,1998,3,188,2000,5.236441962829949,7.600902459542082
8,1998,3,1200,3000,7.090076835776092,8.006367567650246
10,1998,3,300,20000,5.703782474656201,9.903487552536127
37,1998,3,1600,3000,7.3777589082278725,8.006367567650246
40,1998,3,650,2000,6.476972362889683,7.600902459542082
41,1998,3,5000,10000,8.517193191416238,9.210340371976184
45,1998,3,1200,5000,7.090076835776092,8.517193191416238
11301,1998,3,800,5000,6.684611727667927,8.517193191416238
11325,1998,3,800,5000,6.684611727667927,8.517193191416238
14371,1998,3,1000,3000,6.907755278982137,8.006367567650246
55,1998,3,600,2000,6.396929655216146,7.600902459542082
56,1998,3,700,2500,6.551080335043404,7.824046010856292
50,1998,3,1200,6000,7.090076835776092,8.699514748210191
51,1998,3,254,3000,5.537334267018537,8.006367567650246
11321,1998,3,800,15000,6.684611727667927,9.615805480084347
11322,1998,3,121,15000,4.795790545596741,9.615805480084347
11318,1998,3,640,10000,6.461468176353717,9.210340371976184
11319,1998,3,780,10000,6.659293919683638,9.210340371976184
11314,1998,3,85,6000,4.442651256490317,8.699514748210191
14375,1998,3,600,6000,6.396929655216146,8.699514748210191
65,1998,4,970,4000,6.877296071497429,8.294049640102028
70,1998,4,320,900,5.768320995793772,6.802394763324311
75,1998,4,780,10000,6.659293919683638,9.210340371976184
92,1998,4,89,4000,4.48863636973214,8.294049640102028
93,1998,4,200,3000,5.298317366548036,8.006367567650246
99,1998,4,250,3000,5.521460917862246,8.006367567650246
102,1998,4,508,10000,6.230481447578482,9.210340371976184
109,1998,4,370,15000,5.91350300563827,9.615805480084347
112,1998,4,460,5000,6.131226489483141,8.517193191416238
122,1998,4,534,2000,6.280395838960195,7.600902459542082
125,1998,4,470,30000,6.152732694704104,10.308952660644293
126,1998,4,460,10000,6.131226489483141,9.210340371976184
130,1998,4,380,1500,5.940171252720432,7.313220387090301
132,1998,4,250,5000,5.521460917862246,8.517193191416238
133,1998,4,1200,4000,7.090076835776092,8.294049640102028
136,1998,4,300,5000,5.703782474656201,8.517193191416238
138,1998,4,350,800,5.857933154483459,6.684611727667927
142,1998,4,500,10000,6.214608098422191,9.210340371976184
11350,1998,4,1000,4000,6.907755278982137,8.294049640102028
11352,1998,4,65,3000,4.174387269895637,8.006367567650246
164,1998,4,300,2000,5.703782474656201,7.600902459542082
167,1998,4,80,3000,4.382026634673881,8.006367567650246
11353,1998,4,385,15000,5.953243334287785,9.615805480084347
170,1998,4,470,2000,6.152732694704104,7.600902459542082
174,1998,4,1085,5000,6.98933526597456,8.517193191416238
175,1998,4,500,5000,6.214608098422191,8.517193191416238
182,1998,4,300,3000,5.703782474656201,8.006367567650246
184,1998,4,650,5000,6.476972362889683,8.517193191416238
190,1998,4,300,1000,5.703782474656201,6.907755278982137
191,1998,4,300,2000,5.703782474656201,7.600902459542082
192,1998,4,100,700,4.605170185988092,6.551080335043404
196,1998,4,500,10000,6.214608098422191,9.210340371976184
198,1998,4,100,12000,4.605170185988092,9.392661928770137
207,1998,4,700,10000,6.551080335043404,9.210340371976184
215,1998,4,700,3000,6.551080335043404,8.006367567650246
230,1998,4,160,9000,5.075173815233827,9.104979856318357
11366,1998,4,300,3000,5.703782474656201,8.006367567650246
11367,1998,4,700,5000,6.551080335043404,8.517193191416238
239,1998,4,700,2500,6.551080335043404,7.824046010856292
11372,1998,1,1000,1500,6.907755278982137,7.313220387090301
258,1998,1,85,3000,4.442651256490317,8.006367567650246
282,1998,1,1500,3000,7.313220387090301,8.006367567650246
283,1998,1,500,6000,6.214608098422191,8.699514748210191
286,1998,1,670,3000,6.507277712385012,8.006367567650246
11381,1998,1,450,5000,6.1092475827643655,8.517193191416238
289,1998,1,420,3000,6.040254711277414,8.006367567650246
290,1998,1,1350,4000,7.2078598714324755,8.294049640102028
295,1998,1,3200,10000,8.070906088787819,9.210340371976184
299,1998,1,430,5000,6.063785208687608,8.517193191416238
305,1998,1,1700,5000,7.438383530044307,8.517193191416238
309,1998,1,400,5000,5.991464547107982,8.517193191416238
310,1998,1,500,4500,6.214608098422191,8.411832675758411
316,1998,1,2000,10000,7.600902459542082,9.210340371976184
321,1998,1,800,4000,6.684611727667927,8.294049640102028
322,1998,1,12000,100000,9.392661928770137,11.512925464970229
328,1998,1,734,3500,6.598509028614515,8.160518247477505
329,1998,1,200,3000,5.298317366548036,8.006367567650246
11405,1998,1,1000,5000,6.907755278982137,8.517193191416238
351,1998,1,1800,5000,7.495541943884256,8.517193191416238
11401,1998,1,1200,4000,7.090076835776092,8.294049640102028
11402,1998,1,420,3000,6.040254711277414,8.006367567650246
359,1998,1,2300,8000,7.7406644019172415,8.987196820661973
360,1998,1,800,5000,6.684611727667927,8.517193191416238
361,1998,1,1100,9000,7.003065458786462,9.104979856318357
364,1998,1,1200,4000,7.090076835776092,8.294049640102028
366,1998,1,700,5000,6.551080335043404,8.517193191416238
369,1998,1,250,8000,5.521460917862246,8.987196820661973
14404,1998,1,700,4000,6.551080335043404,8.294049640102028
379,1998,1,300,3000,5.703782474656201,8.006367567650246
14405,1998,1,430,1000,6.063785208687608,6.907755278982137
383,1998,1,350,8000,5.857933154483459,8.987196820661973
390,1998,1,230,6000,5.438079308923196,8.699514748210191
402,1998,1,200,2000,5.298317366548036,7.600902459542082
14406,1998,1,900,3500,6.802394763324311,8.160518247477505
417,1998,1,300,1500,5.703782474656201,7.313220387090301
14409,1998,1,700,4000,6.551080335043404,8.294049640102028
418,1998,1,299,5000,5.700443573390687,8.517193191416238
424,1998,1,3000,5000,8.006367567650246,8.517193191416238
431,1998,1,600,5000,6.396929655216146,8.517193191416238
436,1998,1,500,5000,6.214608098422191,8.517193191416238
438,1998,1,3100,10000,8.039157390473237,9.210340371976184
11423,1998,1,370,9000,5.91350300563827,9.104979856318357
14412,1998,1,1100,2000,7.003065458786462,7.600902459542082
449,1998,1,560,10000,6.327936783729195,9.210340371976184
450,1998,1,360,2000,5.886104031450156,7.600902459542082
453,1998,1,350,2000,5.857933154483459,7.600902459542082
456,1998,1,350,2000,5.857933154483459,7.600902459542082
457,1998,1,1184,20000,7.076653815443951,9.903487552536127
458,1998,1,3000,10000,8.006367567650246,9.210340371976184
14415,1998,1,1000,7000,6.907755278982137,8.85366542803745
459,1998,1,1000,5000,6.907755278982137,8.517193191416238
460,1998,1,500,5000,6.214608098422191,8.517193191416238
14417,1998,1,2300,15000,7.7406644019172415,9.615805480084347
14418,1998,1,1000,10000,6.907755278982137,9.210340371976184
474,1998,1,800,5000,6.684611727667927,8.517193191416238
475,1998,1,1000,5000,6.907755278982137,8.517193191416238
481,1998,1,300,5000,5.703782474656201,8.517193191416238
14421,1998,1,1000,5000,6.907755278982137,8.517193191416238
14425,1998,2,2000,50000,7.600902459542082,10.819778284410283
499,1998,2,800,3000,6.684611727667927,8.006367567650246
11439,1998,2,600,10000,6.396929655216146,9.210340371976184
512,1998,2,470,3000,6.152732694704104,8.006367567650246
513,1998,2,961,2000,6.8679744089702925,7.600902459542082
518,1998,2,880,10000,6.779921907472252,9.210340371976184
527,1998,2,612,10000,6.416732282512326,9.210340371976184
528,1998,2,1167,10000,7.062191632286556,9.210340371976184
11443,1998,2,200,4000,5.298317366548036,8.294049640102028
541,1998,2,271,1000,5.602118820879701,6.907755278982137
545,1998,2,1200,7000,7.090076835776092,8.85366542803745
550,1998,2,864,10000,6.761572768804055,9.210340371976184
553,1998,2,100,4000,4.605170185988092,8.294049640102028
557,1998,2,2000,15000,7.600902459542082,9.615805480084347
558,1998,2,300,10000,5.703782474656201,9.210340371976184
563,1998,2,371,6000,5.916202062607435,8.699514748210191
566,1998,2,500,4000,6.214608098422191,8.294049640102028
571,1998,2,750,5000,6.620073206530356,8.517193191416238
579,1998,2,500,4000,6.214608098422191,8.294049640102028
11466,1998,2,700,4500,6.551080335043404,8.411832675758411
11467,1998,2,241,3000,5.484796933490655,8.006367567650246
11475,1998,2,340,6000,5.8289456176102075,8.699514748210191
602,1998,2,535,2000,6.282266746896006,7.600902459542082
606,1998,2,150,5000,5.0106352940962555,8.517193191416238
607,1998,2,1000,8000,6.907755278982137,8.987196820661973
612,1998,2,150,2000,5.0106352940962555,7.600902459542082
11479,1998,2,370,10000,5.91350300563827,9.210340371976184
14439,1998,2,400,4000,5.991464547107982,8.294049640102028
616,1998,2,600,5000,6.396929655216146,8.517193191416238
617,1998,2,500,20000,6.214608098422191,9.903487552536127
621,1998,2,67,4000,4.204692619390966,8.294049640102028
623,1998,2,300,4000,5.703782474656201,8.294049640102028
11482,1998,2,680,10000,6.522092798170152,9.210340371976184
14441,1998,2,1000,6000,6.907755278982137,8.699514748210191
14442,1998,2,1500,1500,7.313220387090301,7.313220387090301
633,1998,2,940,4000,6.84587987526405,8.294049640102028
637,1998,2,900,5000,6.802394763324311,8.517193191416238
638,1998,2,130,4000,4.867534450455582,8.294049640102028
640,1998,2,1140,10000,7.038783541388542,9.210340371976184
641,1998,2,750,10000,6.620073206530356,9.210340371976184
